Time,Data
0:00:00,That's the price
0:00:04,Leave behind
0:00:07,Just another product
0:00:12,Rather be the hunter than the prey
0:00:17,"And you're standing on the edge,"
0:00:21,A beating heart
0:00:23,You gotta be so
0:00:29,"Yeah, you're"
0:00:31,Living your
0:00:33,You gotta
0:00:36,"Yeah,"
0:00:41,Let me see the light within the dark trees' shadows and
0:00:46,Lookin' through the glass find the wrong within the past knowin'
0:00:49,We are the youth
0:00:51,"Cut until it bleeds,"
0:00:54,"A bit of the truth,"
0:00:56,the truth
